bookstore,title,link,found_title,author,date,price,rating,num_ratings,num_pages,tokens
1,The Politically Incorrect Guide to Science,http://www.amazon.com/Politically-Incorrect-Guide-Science-Guides/dp/089526031X/ref=sr_1_1?ie=UTF8&qid=1412757338&sr=8-1&keywords=The+Politically+Incorrect+Guide+to+Science,The Politically Incorrect Guide to Science (Politically Incorrect Guides),Tom Bethell,2005,,3.6,143,,"[politically, incorrect, guide, science, politically, incorrect, guides]"
1,Probable Tomorrows,http://www.amazon.com/Probable-Tomorrows-Science-Technology-Transform/dp/B008SMT0EE/ref=sr_1_1?ie=UTF8&qid=1412757350&sr=8-1&keywords=Probable+Tomorrows,Probable Tomorrows: How Science and Technology Will Transform Our Lives in the Next Twenty Years,Owen Davies,1997,,See,5,,"[probable, tomorrows, science, technology, transform, lives, next, twenty, years]"
1,Cascadia's Fault,http://www.amazon.com/Cascadias-Fault-Earthquake-Tsunami-Devastate/dp/1582438242/ref=sr_1_1?ie=UTF8&qid=1412757361&sr=8-1&keywords=Cascadia%27s+Fault,Cascadia's Fault: The Coming Earthquake and Tsunami that Could Devastate North America,Jerry Thompson ,2012,,4.1,85,,"[cascadia, fault, coming, earthquake, tsunami, could, devastate, north, america]"
1,Waistland,http://www.amazon.com/Waistland-evolutionary-Science-Behind-Fitness/dp/0393062163/ref=sr_1_1?ie=UTF8&qid=1412757371&sr=8-1&keywords=Waistland,Waistland: The R/evolutionary Science Behind Our Weight and Fitness Crisis,Deirdre Barrett,2007,,4.3,NotFound,,"[waistland, r/evolutionary, science, behind, weight, fitness, crisis]"
1,Cosmic Explorers,http://www.amazon.com/Cosmic-Explorers-Scientific-Extraterrestrials-Messagefor/dp/0525944303/ref=sr_1_1?ie=UTF8&qid=1412757386&sr=8-1&keywords=Cosmic+Explorers,"Cosmic Explorers: Scientific Remote Viewing, Extraterrestrials, and a Messagefor Mankind",Courtney Brown,1999,,4.9,NotFound,,"[cosmic, explorers, scientific, remote, viewing, extraterrestrials, messagefor, mankind]"
1,Elliptic Partial Differential Equations and Quasiconformal Mappings in the Plane,http://www.amazon.com/Differential-Equations-Quasiconformal-Princeton-Mathematical/dp/0691137773/ref=sr_1_1?ie=UTF8&qid=1412757423&sr=8-1&keywords=Elliptic+Partial+Differential+Equations+and+Quasiconformal+Mappings+in+the+Plane,Elliptic Partial Differential Equations and Quasiconformal Mappings in the Plane (PMS-48) (Princeton Mathematical Series),Gaven Martin,2009,,,1,,"[elliptic, partial, differential, equations, quasiconformal, mappings, plane, pms-48, princeton, mathematical, series]"
1,"Merde: Excursions in Scientific, Cultural, and Socio-Historical Coprology",http://www.amazon.com/Merde-Excursions-Scientific-Socio-Historical-Coprology/dp/0812992512/ref=sr_1_1?ie=UTF8&qid=1412757435&sr=8-1&keywords=Merde%3A+Excursions+in+Scientific%2C+Cultural%2C+and+Socio-Historical+Coprology,"Merde: Excursions in Scientific, Cultural, and Socio-Historical Coprology",Ralph A. Lewin,1999,,See,NotFound,,"[merde, excursions, scientific, cultural, socio-historical, coprology]"
1,How to Live Forever or Die Trying,http://www.amazon.com/How-Live-Forever-Die-Trying/dp/1416522832/ref=sr_1_1?ie=UTF8&qid=1412757454&sr=8-1&keywords=How+to+Live+Forever+or+Die+Trying,How to Live Forever or Die Trying: On the New Immortality,Bryan Appleyard,2008,,5,2,,"[live, forever, die, trying, new, immortality]"
1,"The Transit of Venus: The Brief, Brilliant Life of Jeremiah Horrocks, Father of British Astronomy",http://www.amazon.com/The-Transit-Venus-Brilliant-Astronomy/dp/1859362141/ref=sr_1_1?ie=UTF8&qid=1412757467&sr=8-1&keywords=The+Transit+of+Venus%3A+The+Brief%2C+Brilliant+Life+of+Jeremiah+Horrocks%2C+Father+of+British+Astronomy,"The Transit of Venus: The Brief, Brilliant Life of Jeremiah Horrocks, Father of British Astronomy",Peter Aughton,2012,,See,4,,"[transit, venus, brief, brilliant, life, jeremiah, horrocks, father, british, astronomy]"
1,Audobon and His Journals,http://www.amazon.com/Audubon-His-Journals-Maria/dp/0486251438/ref=sr_1_1?ie=UTF8&qid=1412757477&sr=8-1&keywords=audubon+and+his+journals,Audubon and His Journals,Maria Audubon,1986,,4.8,1,,"[audubon, journals]"
1,"Great Extinction: The Solution to One of the Great Mysteries of Science, the Disappearance of the Dinosaurs",http://www.amazon.com/Great-Extinction-Mysteries-Disappearance-Dinosaurs/dp/038518011X/ref=sr_1_1?ie=UTF8&qid=1412757490&sr=8-1&keywords=Great+Extinction%3A+The+Solution+to+One+of+the+Great+Mysteries+of+Science%2C+the+Disappearance+of+the+Dinosaurs,"Great Extinction: The Solution to One of the Great Mysteries of Science, the Disappearance of the Dinosaurs",James Lovelock,1983,,See,1,,"[great, extinction, solution, one, great, mysteries, science, disappearance, dinosaurs]"
1,Understanding the Present,http://www.amazon.com/UNDERSTANDING-THE-PRESENT-Bryan-Appleyard/dp/0385420714/ref=sr_1_1?ie=UTF8&qid=1412757500&sr=8-1&keywords=Understanding+the+Present,UNDERSTANDING THE PRESENT,Bryan Appleyard,1993,,See,NotFound,,"[understanding, present]"
1,A Beginner's Guide to Immortality,http://www.amazon.com/Beginners-Guide-Immortality-Extraordinary-Resurrection/dp/1560259841/ref=sr_1_1?ie=UTF8&qid=1412757511&sr=8-1&keywords=A+Beginner%27s+Guide+to+Immortality,"A Beginner's Guide to Immortality: Extraordinary People, Alien Brains, and Quantum Resurrection",Clifford A. Pickover,2006,,4.4,13,,"[beginner, guide, immortality, extraordinary, people, alien, brains, quantum, resurrection]"
1,The Periodic Kingdom,http://www.amazon.com/The-Periodic-Kingdom-Chemical-Elements/dp/0465072666/ref=sr_1_1?ie=UTF8&qid=1412757533&sr=8-1&keywords=The+Periodic+Kingdom,The Periodic Kingdom: A Journey Into The Land Of The Chemical Elements (Science Masters Series),P. W. Atkins,1997,,4.8,NotFound,,"[periodic, kingdom, journey, land, chemical, elements, science, masters, series]"
1,Inventing Tomorrow,http://www.amazon.com/Inventing-Tomorrow-michael-allaby/dp/0349100179/ref=sr_1_2?s=books&ie=UTF8&qid=1412766615&sr=1-2&keywords=Inventing+Tomorrow,Inventing Tomorrow,michael allaby,1977,,,NotFound,,"[inventing, tomorrow]"
1,Copernicus and Modern Astronomy (Dover Books on Astronomy),http://www.amazon.com/Copernicus-Modern-Astronomy-Dover-Books-ebook/dp/B00A73IWN2/ref=sr_1_1?s=books&ie=UTF8&qid=1412766640&sr=1-1&keywords=Copernicus+and+Modern+Astronomy+%28Dover+Books+on+Astronomy%29,Copernicus and Modern Astronomy (Dover Books on Astronomy),,2012,,,NotFound,,"[copernicus, modern, astronomy, dover, books, astronomy]"
1,Right Where You are Sitting Now,http://www.amazon.com/Right-Where-You-Are-Sitting/dp/0914171453/ref=sr_1_1?ie=UTF8&qid=1412757572&sr=8-1&keywords=Right+Where+You+are+Sitting+Now,Right Where You Are Sitting Now: Further Tales of the Illuminati (Visions Series),Robert Anton Wilson,1993,,4.6,NotFound,,"[right, sitting, tales, illuminati, visions, series]"
1,Chance in the House of Fate,http://www.amazon.com/Chance-House-Fate-Natural-Heredity/dp/0618219099/ref=sr_1_1?ie=UTF8&qid=1412757584&sr=8-1&keywords=Chance+in+the+House+of+Fate,Chance in the House of Fate: A Natural History of Heredity,Jennifer Ackerman,2002,,See,NotFound,,"[chance, house, fate, natural, history, heredity]"
1,Essay on Classification,http://www.amazon.com/Essay-Classification-Louis-Agassiz/dp/0486435806/ref=sr_1_1?ie=UTF8&qid=1412757597&sr=8-1&keywords=Essay+on+Classification,Essay on Classification,Louis Agassiz,2004,,See,NotFound,,"[essay, classification]"
1,The Knowledge Web,http://www.amazon.com/Knowledge-Web-James-Burke/dp/0965061310/ref=sr_1_1?s=books&ie=UTF8&qid=1412766707&sr=1-1&keywords=The+Knowledge+Web,Knowledge Web,James Burke,1999,,4,NotFound,,"[knowledge, web]"
1,The Tiger That Isn't,http://www.amazon.com/Tiger-That-Isnt-Through-Numbers/dp/1861978391/ref=sr_1_2?s=books&ie=UTF8&qid=1412766744&sr=1-2&keywords=The+Tiger+That+Isn%27t,The Tiger That Isn't: Seeing Through a World of Numbers,Andrew Dilnot,2007,,4.2,NotFound,,"[tiger, n't, seeing, world, numbers]"
1,And the Waters Turned to Blood,http://www.amazon.com/Waters-Turned-Blood-Rodney-Barker/dp/0684831260/ref=sr_1_1?ie=UTF8&qid=1412757637&sr=8-1&keywords=And+the+Waters+Turned+to+Blood,And the Waters Turned to Blood,Rodney Barker,1997,,4.8,21,,"[waters, turned, blood]"
1,Superstrings: A Theory of Everything?,http://www.amazon.com/Superstrings-Everything-P-C-Davies/dp/052143775X/ref=sr_1_2?s=books&ie=UTF8&qid=1412766795&sr=1-2&keywords=Superstrings%3A+A+Theory+of+Everything%3F,Superstrings: A Theory of Everything? (Canto),Julian Brown(Editor),1992,,4.5,9,,"[superstrings, theory, everything, canto]"
1,Plan Bee,http://www.amazon.com/Plan-Bee-Everything-Hardest-Working-Creatures/dp/0399535985/ref=sr_1_1?ie=UTF8&qid=1412757664&sr=8-1&keywords=Plan+Bee,Plan Bee: Everything You Ever Wanted to Know About the Hardest-Working Creatures on thePlanet,Susan Brackney,2010,,4.8,NotFound,,"[plan, bee, everything, ever, wanted, know, hardest-working, creatures, theplanet]"
1,A Visitor Within: the Science of Pregnancy,http://www.amazon.com/Visitor-Within-The-Science-Pregnancy/dp/029764677X/ref=sr_1_1?ie=UTF8&qid=1412757676&sr=8-1&keywords=A+Visitor+Within%3A+the+Science+of+Pregnancy,A Visitor Within: The Science of Pregnancy,David. Bainbridge,2000,,4.2,NotFound,,"[visitor, within, science, pregnancy]"
1,Dragonfly: NASA and the Crisis Aboard Mir,http://www.amazon.com/Dragonfly-NASA-And-Crisis-Aboard/dp/0887307833/ref=sr_1_1?ie=UTF8&qid=1412757690&sr=8-1&keywords=Dragonfly%3A+NASA+and+the+Crisis+Aboard+Mir,Dragonfly: NASA And The Crisis Aboard Mir,Bryan Burrough,1998,,3.6,NotFound,,"[dragonfly, nasa, crisis, aboard, mir]"
